"","Date","departement","montant"
"1",2020-03-04,"Auvergne-Rhône-Alpes",49
"2",2020-03-04,"Bourgogne-Franche-Comté",16
"3",2020-03-04,"Bretagne",23
"4",2020-03-04,"Centre-Val de Loire",0
"5",2020-03-04,"Corse",0
"6",2020-03-04,"Grand Est",38
"7",2020-03-04,"Hauts-de-France",65
"8",2020-03-04,"Ile-de-France",55
"9",2020-03-04,"Normandie",2
"10",2020-03-04,"Nouvelle-Aquitaine",5
"11",2020-03-04,"Occitanie",9
"12",2020-03-04,"Pays de la Loire",7
"13",2020-03-04,"Provence-Alpes-Côte d’Azur",13
"14",2020-03-04,"Guadeloupe",3
"15",2020-03-04,"Saint-Barthélémy",0
"16",2020-03-04,"Saint-Martin",0
"17",2020-03-04,"Guyane",0
"18",2020-03-04,"Martinique",0
"19",2020-03-04,"Mayotte",0
"20",2020-03-04,"La Réunion",0
"21",2020-03-05,"Auvergne-Rhône-Alpes",64
"22",2020-03-05,"Bourgogne-Franche-Comté",39
"23",2020-03-05,"Bretagne",29
"24",2020-03-05,"Centre-Val de Loire",2
"25",2020-03-05,"Corse",3
"26",2020-03-05,"Grand Est",77
"27",2020-03-05,"Hauts-de-France",74
"28",2020-03-05,"Ile-de-France",76
"29",2020-03-05,"Normandie",6
"30",2020-03-05,"Nouvelle-Aquitaine",8
"31",2020-03-05,"Occitanie",11
"32",2020-03-05,"Pays de la Loire",8
"33",2020-03-05,"Provence-Alpes-Côte d’Azur",18
"34",2020-03-05,"Guadeloupe",3
"35",2020-03-05,"Saint-Barthélémy",0
"36",2020-03-05,"Saint-Martin",0
"37",2020-03-05,"Guyane",5
"38",2020-03-05,"Martinique",0
"39",2020-03-05,"Mayotte",0
"40",2020-03-05,"La Réunion",0
"41",2020-03-06,"Auvergne-Rhône-Alpes",75
"42",2020-03-06,"Bourgogne-Franche-Comté",78
"43",2020-03-06,"Bretagne",32
"44",2020-03-06,"Centre-Val de Loire",11
"45",2020-03-06,"Corse",3
"46",2020-03-06,"Grand Est",136
"47",2020-03-06,"Hauts-de-France",97
"48",2020-03-06,"Ile-de-France",89
"49",2020-03-06,"Normandie",11
"50",2020-03-06,"Nouvelle-Aquitaine",11
"51",2020-03-06,"Occitanie",18
"52",2020-03-06,"Pays de la Loire",16
"53",2020-03-06,"Provence-Alpes-Côte d’Azur",26
"54",2020-03-06,"Guadeloupe",0
"55",2020-03-06,"Saint-Barthélémy",1
"56",2020-03-06,"Saint-Martin",2
"57",2020-03-06,"Guyane",5
"58",2020-03-06,"Martinique",2
"59",2020-03-06,"Mayotte",0
"60",2020-03-06,"La Réunion",0
"61",2020-03-07,"Auvergne-Rhône-Alpes",102
"62",2020-03-07,"Bourgogne-Franche-Comté",129
"63",2020-03-07,"Bretagne",40
"64",2020-03-07,"Centre-Val de Loire",16
"65",2020-03-07,"Corse",5
"66",2020-03-07,"Grand Est",250
"67",2020-03-07,"Hauts-de-France",173
